Rhythm Is a Dancer (Original Mix),Snap!,Dance,40,1992
Plush,Stone Temple Pilots,Hard Rock,2,1992
Weak,SWV,R&B/Soul,19,1992
I Will Always Love You,Whitney Houston,Soundtrack,4,1992
I Have Nothing,Whitney Houston,Soundtrack,33,1992
I'm Every Woman,Whitney Houston,Soundtrack,4,1992
Run to You,Whitney Houston,Soundtrack,2,1992
Jesus Loves Me,Whitney Houston,Soundtrack,4,1992
I Will Always Love You,Whitney Houston,Pop,108,1992
Twilight Zone,2 Unlimited,Pop,63,1992
The Sign (Remastered),Ace of Base,Pop,9,1993
The Power of Love,Céline Dion,Pop,4,1993
Mr. Jones,Counting Crows,Rock,24,1993
Somebody to Love,George Michael & Queen,Pop,9,1993
You Know How We Do It,Ice Cube,Hip-Hop/Rap,38,1993
If,Janet Jackson,Vocal,49,1993
Again,Janet Jackson,Pop,13,1993
Hero,Mariah Carey,Pop,12,1993
Without You,Mariah Carey,Pop,10,1993
Dreamlover,Mariah Carey,Pop,16,1993
Hero,Mariah Carey,Pop,22,1993
"Merry Christmas, Happy Holidays",*NSYNC,Christmas: Pop,4,1993
Another Night,Real McCoy,R&B/Soul,49,1993
Love for Love,Robin S.,Pop,15,1993
Show Me Love (Extended Mix),Steve Angello & Laidback Luke,Dance,10,1993
Another Sad Love Song,Toni Braxton,R&B/Soul,10,1993
(I Can't Help) Falling in Love With You,UB40,Reggae,18,1993
No Limit,2 Unlimited,Pop,41,1993
Tribal Dance,2 Unlimited,Pop,48,1993
Don't Give Me Your Life (Radio Version),Alex Party,Dance,5,1994
The Funk Phenomena (feat. Old Skool Junkies),Armand Van Helden,House,13,1994
Cartoon Heroes (Speedy Mix Version),Barbie Young,Dance,48,1994
Two Can Play That Game (K Klassik Radio Mix),Bobby Brown,R&B/Soul,24,1994
I'll Make Love to You,Boyz II Men,Neo-Soul,21,1994
Baby,Brandy,R&B/Soul,2,1994
Baby Baby,Corona,Dance,5,1994
Basket Case,Green Day,Alternative,20,1994
Hold My Hand,Hootie & The Blowfish,Pop,17,1994
Hips Don't Lie (Dance Remix),KYRIA,Dance,31,1994
All I Want For Christmas Is You,Mariah Carey,Christmas,55,1994
Miss You Most (At Christmas Time),Mariah Carey,Christmas,24,1994
Joy To the World,Mariah Carey,Christmas,10,1994
Hark! The Herald Angels Sing / Gloria (In Excelsis Deo),Mariah Carey,Christmas,22,1994
All I Want for Christmas Is You (Live at The Cathedral of St. John The Divine),Mariah Carey,Holiday,31,1994
Wouldn't It Be Good,Nik Kershaw,Rock,31,1994
Big Poppa (2007 Remaster),The Notorious B.I.G.,Hip-Hop/Rap,3,1994
Gotta Get Away,The Offspring,Alternative,3,1994
Don't Stop Wiggle Wiggle,The Outhere Brothers,Hip-Hop/Rap,4,1994
Cotton Eye Joe,Rednex,Dance,55,1994
Candy Rain,Soul for Real,R&B/Soul,41,1994
Buddy Holly,Weezer,Pop,15,1994
The Real Thing (Tribal Edit),2 Unlimited,Pop,32,1994
Beautiful Life,Ace of Base,Pop,25,1995
Beautiful Life (Remastered),Ace of Base,Dance,4,1995
Lucky Love (Remastered),Ace of Base,Pop,7,1995
I Can Love You Like That,All-4-One,Pop,6,1995
I'll Never Break Your Heart,Backstreet Boys,Pop,17,1995
If You Love Me,Brownstone,R&B/Soul,6,1995
The Bomb! (These Sound Fall Into My Mind) [Radio Edit],The Bucketheads,Hip-Hop/Rap,15,1995
Captain Jack,Captain Jack,Dance,7,1995
Gangsta's Paradise (feat. L.V.),Coolio,Hip-Hop/Rap,4,1995
Hideaway (Radio Edit),De'Lacy,Dance,8,1995
When Love And Hate Collide,Def Leppard,Rock,15,1995
Keep Their Heads Ringin',Dr. Dre,Hip-Hop/Rap,7,1995
Hardcore Vibes,Dune,Dance,6,1995
Max Don't Have Sex With Your Ex,E-Rotic,Pop,9,1995
Close to You,Fun Factory,Dance,23,1995
Be My Lover,La Bouche,Dance,39,1995
Fallin' In Love,La Bouche,Dance,16,1995
Loungin (Who Do Ya Luv) [Remix],LL COOL J,Hip-Hop/Rap,32,1995
One Sweet Day (feat. Boyz II Men),Mariah Carey,Pop,25,1995
Always Be My Baby,Mariah Carey,Pop,31,1995
Fantasy,Mariah Carey,R&B/Soul,130,1995
You Are Not Alone (Single Version),Michael Jackson,Pop,17,1995
Scream,Michael Jackson,Pop,38,1995
Don't Take It Personal (Just One of Dem Days),Monica,R&B/Soul,6,1995
Stayin' Alive (feat. Ricardo Da Force),N-Trance,Pop,12,1995
Total Eclipse of the Heart (Dance Mix),Nicki French,Dance,54,1995
Surrender Your Love (MK Radio Edit),Nightcrawlers,Dance,17,1995
Push the Feeling On (Mk Dub Revisited Edit),Nightcrawlers,Pop,14,1995
It's My Life,No Doubt,Pop,8,1995
One More Chance / Stay with Me (Remix) [2007 Remaster],The Notorious B.I.G.,Hip-Hop/Rap,11,1995
Boom Boom Boom,The Outhere Brothers,Hip-Hop/Rap,42,1995
Heaven for Everyone,Queen,Rock,4,1995
Dreaming Of You,Selena,Pop Latino,4,1995
Boombastic,Shaggy,Pop,4,1995
Fairground,Simply Red,Pop,7,1995
I Wish,Skee-Lo,Hip-Hop/Rap,15,1995
Every Little Thing I Do,Soul for Real,R&B/Soul,30,1995
Back for Good (Radio Mix),Take That,Pop,3,1995
I 2 I,Tevin Campbell & Rosie Gaines,Disney,12,1995
Rock N Roll McDonald's,Wesley Willis,Alternative,21,1995
Dear Mama,2Pac,Hip-Hop/Rap,10,1995
This Is Your Night,Amber,Dance,31,1996
Them and Us,Bad Religion,Alternative,11,1996
